Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 9.435411e-002  8.106309e-003  2.585243e-004
 9.459570e-002  8.548373e-003  2.611638e-004
 9.483729e-002  8.598242e-003  2.606135e-004
 9.507887e-002  7.958858e-003  2.577254e-004
 9.532046e-002  8.261409e-003  2.598614e-004
 9.556205e-002  8.031158e-003  2.589396e-004
 9.580364e-002  8.214418e-003  2.583182e-004
 9.604523e-002  8.268518e-003  2.594297e-004
 9.628682e-002  8.290094e-003  2.605453e-004
 9.652841e-002  7.771567e-003  2.588967e-004
 9.676999e-002  8.090258e-003  2.605552e-004
 9.701158e-002  7.438270e-003  2.559759e-004
 9.725317e-002  7.122942e-003  2.573687e-004
 9.749476e-002  7.199879e-003  2.584217e-004
 9.773635e-002  7.276203e-003  2.571499e-004
 9.797794e-002  7.141533e-003  2.577910e-004
 9.821953e-002  6.629961e-003  2.581658e-004
 9.846111e-002  7.062842e-003  2.585552e-004
 9.870270e-002  6.385591e-003  2.583229e-004
 9.894429e-002  6.508633e-003  2.587637e-004
 9.918588e-002  7.005073e-003  2.599307e-004
 9.942747e-002  7.027758e-003  2.579508e-004
 9.966906e-002  6.497797e-003  2.580862e-004
 9.991065e-002  6.312064e-003  2.589387e-004
 1.001522e-001  6.601797e-003  2.575027e-004
 1.003938e-001  5.731297e-003  2.570601e-004
 1.006354e-001  6.314894e-003  2.582980e-004
 1.008770e-001  5.969315e-003  2.588326e-004
 1.011186e-001  6.382791e-003  2.596097e-004
 1.013602e-001  6.192088e-003  2.610135e-004
 1.016018e-001  5.913967e-003  2.597445e-004
 1.018434e-001  5.510100e-003  2.644572e-004
 1.020849e-001  5.916397e-003  2.714962e-004
 1.023265e-001  5.659267e-003  2.739636e-004
 1.025681e-001  5.666667e-003  2.739226e-004
 1.028097e-001  5.705958e-003  2.767497e-004
 1.030513e-001  6.198855e-003  2.828549e-004
 1.032929e-001  4.904294e-003  2.809759e-004
 1.035345e-001  5.145533e-003  2.789398e-004
 1.037761e-001  5.457452e-003  2.843444e-004
 1.040177e-001  5.081785e-003  2.869494e-004
 1.042592e-001  5.020897e-003  2.851989e-004
 1.045008e-001  5.263318e-003  2.835758e-004
 1.047424e-001  4.829470e-003  2.839396e-004
 1.049840e-001  4.563455e-003  2.817906e-004
 1.052256e-001  5.476370e-003  2.807242e-004
 1.054672e-001  4.323373e-003  2.727912e-004
 1.057088e-001  5.344745e-003  2.760815e-004
 1.059504e-001  4.761388e-003  2.723095e-004
 1.061919e-001  4.490742e-003  2.703922e-004
 1.064335e-001  4.849552e-003  2.644105e-004
 1.066751e-001  4.581464e-003  2.586515e-004
 1.069167e-001  4.804091e-003  2.588600e-004
 1.071583e-001  4.730652e-003  2.543752e-004
 1.073999e-001  4.563576e-003  2.526558e-004
 1.076415e-001  4.506512e-003  2.532666e-004
 1.078831e-001  4.651309e-003  2.510642e-004
 1.081247e-001  4.071039e-003  2.512048e-004
 1.083662e-001  4.401194e-003  2.485771e-004
 1.086078e-001  4.315885e-003  2.513642e-004
 1.088494e-001  4.489130e-003  2.492668e-004
 1.090910e-001  4.569258e-003  2.483576e-004
 1.093326e-001  3.831176e-003  2.442946e-004
 1.095742e-001  4.073800e-003  2.470895e-004
 1.098158e-001  4.219785e-003  2.436564e-004
